Event Name,Date,Location,Type,Region,Website
Sounders FC vs. Chicago Fire FC,6/29/2024,Lumen Field,Sports,Pioneer Square,https://visitseattle.org/events/sounders-fc-vs-chicago-fire-fc/
2024 University of Washington MFA + MDes Thesis Exhibition,5/24/2024 through 6/30/2024,Henry Art Gallery,Museums,University District,https://visitseattle.org/events/2024-university-of-washington-mfa-mdes-thesis-exhibition/
Spring Awakening,6/7/2024 through 6/30/2024,The 5th Avenue Theatre,Theatre,Downtown,https://visitseattle.org/events/spring-awakening/
Girl From The North Country,6/25/2024 through 6/30/2024,The Paramount Theatre,Music,Downtown,https://visitseattle.org/events/girl-from-the-north-country/
50th Annual Seattle Pride Parade 2024,6/30/2024,"Seattle, WA",Festivals & Special Events,Downtown,https://visitseattle.org/events/50th-annual-seattle-pride-parade-2024/
Seattle Storm vs Dallas Wings,7/1/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-storm-vs-dallas-wings-2/
Amazon Seafair Summer Fourth,7/4/2024,Gas Works Park,Festivals & Special Events,Wallingford / Greenlake,https://visitseattle.org/events/amazon-seafair-summer-fourth/
Seattle Storm vs. Chicago Sky,7/5/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-storm-vs-chicago-sky/
Seattle Sounders FC vs. New England Revolution,7/6/2024,Lumen Field,Sports,Pioneer Square,https://visitseattle.org/events/seattle-sounders-fc-vs-new-england-revolution/
"Anida Yoeu Ali: Hybrid Skin, Mythical Presence",Now through 7/7/2024,Seattle Asian Art Museum,Museums,Capitol Hill / Central District,https://visitseattle.org/events/anida-yoeu-ali-hybrid-skin-mythical-presence/
Seattle Storm vs.Chicago Sky,7/7/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-storm-vs-chicago-sky-2/
Seattle Storm vs. Las Vegas Aces,7/10/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-storm-vs-las-vegas-aces/
Seattle Storm vs. Minnesota Lynx,7/12/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-storm-vs-minnesota-lynx-2/
Festal: Polish Festival Seattle,7/13/2024,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center,https://visitseattle.org/events/festal-polish-festival-seattle/
Kenny Chesney with Zac Brown Band,7/13/2024,Lumen Field,Music,Pioneer Square,https://visitseattle.org/events/kenny-chesney-with-zac-brown-band/
Ballard SeafoodFest,7/12/2024 through 7/14/2024,Ballard Neighborhood,Festivals & Special Events,Fremont / Ballard,https://visitseattle.org/events/ballard-seafoodfest/
Day In Day Out Festival,7/12/2024 through 7/14/2024,Fisher Pavilion,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/day-in-day-out-festival/
Seattle Storm vs. Atlanta Dream,7/14/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-storm-vs-atlanta-dream/
Seattle Sounders FC vs. St. Louis SC,7/17/2024,Lumen Field,Sports,Pioneer Square,https://visitseattle.org/events/seattle-sounders-fc-vs-st-louis-sc/
Seattle Sounders FC vs. Los Angeles FC,7/20/2024,Lumen Field,Sports,Pioneer Square,https://visitseattle.org/events/seattle-sounders-fc-vs-los-angeles-fc/
Nordic Utopia: African Americans in the 20th Century,3/22/2024 through 7/21/2024,National Nordic Museum,Museums,Fremont / Ballard,https://visitseattle.org/events/nordic-utopia-african-americans-in-the-20th-century/
Clue,7/9/2024 through 7/21/2024,The 5th Avenue Theatre,Theatre,Downtown,https://visitseattle.org/events/clue/
35th Annual Seafair Indian Days Powwow,7/19/2024 through 7/21/2024,Daybreak Star Indian Cultural Center,Festivals & Special Events,Queen Anne / Seattle Center,https://visitseattle.org/events/35th-annual-seafair-indian-days-powwow/
Capitol Hill Block Party,7/19/2024 through 7/21/2024,Capitol Hill Block Party,Festivals & Special Events,Capitol Hill / Central District,https://visitseattle.org/events/capitol-hill-block-party/
Seafair Triathlon,7/21/2024,Seward Park,Festivals & Special Events,South Seattle,https://visitseattle.org/events/seafair-triathlon/
ZooTunes: The Roots,7/21/2024,Woodland Park Zoo,Music,Wallingford / Greenlake,https://visitseattle.org/events/zootunes-the-roots/
ZooTunes: Violent Femmes,7/25/2024,Woodland Park Zoo,Music,Wallingford / Greenlake,https://visitseattle.org/events/zootunes-violent-femmes/
Alaska Airlines Torchlight Parade,7/27/2024,Westlake Park,Festivals & Special Events,Downtown,https://visitseattle.org/events/alaska-airlines-torchlight-parade/
"Be Water, My Friend: The Teachings Of Bruce Lee",Now through 7/28/2024,Wing Luke Museum,Museums,International District,https://visitseattle.org/events/be-water-my-friend-the-teachings-of-bruce-lee/
