Event Name,Date,Location,Type,Region,Website,Latitude,Longitude,ShortForecast
Alice Phoebe Lou,4/10/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/alice-phoebe-lou/,47.6085136,-122.3394726,Weather forecast not found for specific date
All of Our Cornbread,4/10/2024,Sunset Tavern,Music,Fremont / Ballard,https://visitseattle.org/events/all-of-our-cornbread/,36.0254577,-114.9637699,Weather forecast not found for specific date
Hot Rod,4/10/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,https://visitseattle.org/events/hot-rod/,47.6615049,-122.332319,Weather forecast not found for specific date
Hurricane Dreamz,4/10/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,https://visitseattle.org/events/hurricane-dreamz/,47.6615049,-122.332319,Weather forecast not found for specific date
Seattle Kraken vs. San Jose Sharks,4/11/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-san-jose-sharks/,47.6219014,-122.353990491486,Weather forecast not found for specific date
Set It Off,4/12/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/set-it-off/,47.6085136,-122.3394726,Weather forecast not found for specific date
The Percussion: Sounds from Home,4/12/2024 through 4/13/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/the-percussion-sounds-from-home/,47.60811665,-122.33697040702705,Weather forecast not found for specific date
Afrobeats to the World,4/13/2024,The Crocodile,Music,Downtown,https://visitseattle.org/events/afrobeats-to-the-world/,47.6146474,-122.3490734,Weather forecast not found for specific date
Squirt,4/13/2024,Slim's Last Chance,Music,South Seattle,https://visitseattle.org/events/squirt/,47.5524903,-122.33389967462686,Weather forecast not found for specific date
Tina Fey and Amy Poehler: Restless Leg Tour,4/13/2024,WaMu Theater,Theatre,Pioneer Square,https://visitseattle.org/events/tina-fey-and-amy-poehler-restless-leg-tour/,47.593154,-122.3329041,Weather forecast not found for specific date
Honoring 50 Years of Papunya Tula Painting,Now through 4/14/2024,Seattle Art Museum,Museums,Downtown,https://visitseattle.org/events/honoring-50-years-of-papunya-tula-painting/,47.6077008,-122.3385575,Weather forecast not found for specific date
The Moors,3/22/2024 through 4/14/2024,Seattle Public Theater,Theatre,Wallingford / Greenlake,https://visitseattle.org/events/the-moors/,47.6821341,-122.3398325,Weather forecast not found for specific date
Mahler Symphony No. 3,4/11/2024 through 4/14/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/mahler-symphony-no-3/,47.60811665,-122.33697040702705,Weather forecast not found for specific date
Festal: Seattle Cherry Blossom & Japanese Cultural Festival,4/12/2024 through 4/14/2024,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center,https://visitseattle.org/events/festal-seattle-cherry-blossom-japanese-cultural-festival/,47.621255,-122.34974101387942,Weather forecast not found for specific date
Best of the Northwest Spring Show,4/13/2024 through 4/14/2024,Magnuson Park,Festivals & Special Events,University District,https://visitseattle.org/events/best-of-the-northwest-spring-show/,47.6819164,-122.25462087672659,Weather forecast not found for specific date
An Evening with Jinjoo Cho,4/19/2024,415 Westlake,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/an-evening-with-jinjoo-cho/,47.622554,-122.3386578,Weather forecast not found for specific date
Dvorak Symphony No. 6,4/18/2024 through 4/20/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/dvorak-symphony-no-6/,47.60811665,-122.33697040702705,Weather forecast not found for specific date
Seattle Sounders FC vs. Vancouver Whitecaps FC,4/20/2024,Lumen Field,Sports,Pioneer Square,https://visitseattle.org/events/seattle-sounders-fc-vs-vancouver-whitecaps-fc/,47.5953459,-122.33164431196111,Weather forecast not found for specific date
The Seasons’ Canon,4/12/2024 through 4/21/2024,Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center,https://visitseattle.org/events/the-seasons-canon/,47.62397705,-122.35038850536958,Weather forecast not found for specific date
DRUM TAO 30th Anniversary,4/22/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/drum-tao-30th-anniversary/,47.60811665,-122.33697040702705,Weather forecast not found for specific date
AJR,4/26/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/ajr/,47.6219014,-122.353990491486,Weather forecast not found for specific date
Seattle Restaurant Week,4/14/2024 through 4/27/2024,"Seattle, WA",Festivals & Special Events,Downtown,https://visitseattle.org/events/seattle-restaurant-week/,47.6038321,-122.330062,Weather forecast not found for specific date
Disney’s Aladdin,4/24/2024 through 4/28/2024,The Paramount Theatre,Theatre,Downtown,https://visitseattle.org/events/disneys-aladdin/,40.8697559,-73.42561952873208,Weather forecast not found for specific date
Antarctic Symphony,4/25/2024 through 4/28/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/antarctic-symphony/,47.60811665,-122.33697040702705,Weather forecast not found for specific date
Skagit Valley Tulip Festival,4/1/2024 through 4/30/2024,Skagit Valley Tulip Festival,Festivals & Special Events,North,https://visitseattle.org/events/skagit-valley-tulip-festival/,48.4176355,-122.3380122,Weather forecast not found for specific date
